Sample Type,File Name,Sample ID,Comment,Path,Instrument Method,Process Method,Position,Inj Vol
Blank,SolventBlank_20240319_001,SolventBlank_20240319_001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A6,3
Blank,SolventBlank_20240319_002,SolventBlank_20240319_002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A7,3
Blank,ProcessBlank_20240319_001,ProcessBlank_20240319_001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,3
Blank,ProcessBlank_20240319_002,ProcessBlank_20240319_002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A1,3
Blank,ProcessBlank_20240319_003,ProcessBlank_20240319_003,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,3
Blank,ProcessBlank_20240319_004,ProcessBlank_20240319_004,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A1,3
QC,MT_20240319_001,Qstd_20240319_001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20240319_002,Qstd_20240319_002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A3,2
QC,MT_20240319_003,Qstd_20240319_003,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20240319_004,Qstd_20240319_004,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A3,2
